,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
0,Afghanistan,0,0,0,0.0,Asia
1,Albania,89,132,54,4.9,Europe
2,Algeria,25,0,14,0.7,Africa
3,Andorra,245,138,312,12.4,Europe
4,Angola,217,45,45,5.9,Africa
5,Argentina,193,25,221,8.3,South America
6,Armenia,21,179,3,3.8,Asia
7,Australia,261,72,212,10.4,Oceania
8,Austria,279,75,191,9.7,Europe
9,Azerbaijan,21,46,5,2.0,Asia
